run,step,value,wall_time
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,1,-1.6319440603256226,1776842192.4315276
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,2,-1.6319854259490967,1776842258.254964
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,3,-1.631929874420166,1776842285.3696449
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,4,-1.6318598985671997,1776842301.1167598
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,5,-1.6316304206848145,1776842318.555029
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,6,-1.6316192150115967,1776842335.0839863
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,7,-1.6317378282546997,1776842353.215912
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,8,-1.631568431854248,1776842371.8359036
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,9,-1.6311711072921753,1776842391.4559295
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,10,-1.6286563873291016,1776842413.219455
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,11,-1.6276485919952393,1776842437.7319577
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,12,-1.630161166191101,1776842495.1883457
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,13,-1.6297162771224976,1776842554.2004747
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,14,-1.629392147064209,1776842612.2628222
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,15,-1.6300967931747437,1776842670.9383838
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,16,-1.6257445812225342,1776842729.207514
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,17,-1.6132129430770874,1776842754.824822
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,18,-1.6068933010101318,1776842775.5659466
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,19,-1.5894273519515991,1776842794.1421406
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,20,-1.5901954174041748,1776842811.6070578
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,21,-1.5742303133010864,1776842840.8533385
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,22,-1.5552507638931274,1776842898.3077025
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,23,-1.5694022178649902,1776842956.6485147
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,24,-1.5875219106674194,1776843013.6552315
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,25,-1.56937837600708,1776843077.2139878
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,26,-1.567198634147644,1776843137.6937635
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,27,-1.5506384372711182,1776843200.3501613
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,28,-1.530613899230957,1776843259.9883907
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,29,-1.529880404472351,1776843317.5330758
