run,step,value,wall_time
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,1,-1.0683757066726685,1776842192.423536
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,2,-0.3429225981235504,1776842258.2469602
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,3,-0.4757278859615326,1776842285.3680491
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,4,-1.2644025087356567,1776842301.1167598
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,5,-1.2288895845413208,1776842318.5540302
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,6,-0.46964818239212036,1776842335.0839863
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,7,-0.6871935725212097,1776842353.215912
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,8,-1.3815388679504395,1776842371.8296685
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,9,-1.2481639385223389,1776842391.4516478
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,10,-1.4954732656478882,1776842413.2163804
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,11,-1.0958646535873413,1776842437.7319577
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,12,-1.323522686958313,1776842495.1803443
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,13,-0.31548792123794556,1776842554.1960182
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,14,-0.16214731335639954,1776842612.2448106
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,15,-0.9178647994995117,1776842670.9353867
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,16,-0.968686044216156,1776842729.207514
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,17,-0.827915370464325,1776842754.8140666
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,18,-0.8072012066841125,1776842775.5659466
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,19,-1.2994186878204346,1776842794.1401222
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,20,-0.7561267018318176,1776842811.6070578
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,21,-2.2110273838043213,1776842840.8483403
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,22,-0.45200470089912415,1776842898.3026755
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,23,-0.11175839602947235,1776842956.6363888
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,24,-0.5335472822189331,1776843013.6492314
