run,step,value,wall_time
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,1,-4.094715595245361,1776842192.4265335
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,2,-4.099697113037109,1776842258.249961
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,3,-4.131534576416016,1776842285.3684416
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,4,-4.148991107940674,1776842301.1167598
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,5,-4.10991907119751,1776842318.5540302
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,6,-4.099030494689941,1776842335.0839863
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,7,-4.13796854019165,1776842353.215912
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,8,-4.1419219970703125,1776842371.8296685
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,9,-4.116981029510498,1776842391.4539185
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,10,-4.13074254989624,1776842413.2163804
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,11,-4.124452590942383,1776842437.7319577
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,12,-4.126640319824219,1776842495.1823545
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,13,-4.101914882659912,1776842554.198335
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,14,-4.094664096832275,1776842612.2498116
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,15,-4.112142562866211,1776842670.9363875
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,16,-4.195188999176025,1776842729.207514
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,17,-4.144230365753174,1776842754.8140666
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,18,-4.094583511352539,1776842775.5659466
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,19,-4.097906589508057,1776842794.1411269
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,20,-4.0942206382751465,1776842811.6070578
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,21,-4.108194828033447,1776842840.8503382
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,22,-4.102723598480225,1776842898.3046775
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,23,-4.1030802726745605,1776842956.6403894
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,24,-4.092794418334961,1776843013.6492314
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,25,-4.109797954559326,1776843077.2078311
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,26,-4.132345199584961,1776843137.687074
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,27,-4.163330554962158,1776843200.3451798
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,28,-4.122630596160889,1776843259.982648
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,29,-4.12539005279541,1776843317.5310752
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,30,-4.197128772735596,1776843376.077551
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,31,-4.134368419647217,1776843425.3369272
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,32,-4.240848541259766,1776843484.796098
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,33,-4.208436012268066,1776843542.26058
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,34,-4.128825664520264,1776843599.7039056
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,35,-4.114109039306641,1776843658.7878847
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,36,-4.099251747131348,1776843715.0228043
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,37,-4.1471028327941895,1776843770.4669974
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,38,-4.139081001281738,1776843820.157725
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,39,-4.163913249969482,1776843877.0945003
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,40,-4.1317458152771,1776843930.6662025
