run,step,value,wall_time
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,1,-0.1651114970445633,1776842192.4205174
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,2,-0.6079972982406616,1776842258.2449772
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,3,-1.2644277811050415,1776842285.3663402
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,4,-1.3614673614501953,1776842301.1167598
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,5,-1.0849111080169678,1776842318.5530393
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,6,-0.6347496509552002,1776842335.0839863
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,7,-1.5715975761413574,1776842353.215912
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,8,-2.223421335220337,1776842371.8296685
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,9,-1.0530139207839966,1776842391.4490304
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,10,-1.7525439262390137,1776842413.2163804
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,11,-1.3977755308151245,1776842437.7319577
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,12,-1.5671261548995972,1776842495.178329
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,13,-0.7629896402359009,1776842554.1937711
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,14,-0.46075573563575745,1776842612.2428062
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,15,-1.2182954549789429,1776842670.934386
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,16,-2.073341131210327,1776842729.2070498
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,17,-1.9523364305496216,1776842754.8140666
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,18,-0.36082813143730164,1776842775.5659466
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,19,-0.5353439450263977,1776842794.1401222
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,20,-0.5455989241600037,1776842811.6070578
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,21,-1.315294623374939,1776842840.845347
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,22,-1.1981514692306519,1776842898.3016658
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,23,-0.820053219795227,1776842956.631511
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,24,-0.3461145758628845,1776843013.6492314
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,25,-0.8438163995742798,1776843077.2068295
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,26,-0.891088604927063,1776843137.6789656
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,27,-1.8999371528625488,1776843200.3411763
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,28,-1.930403709411621,1776843259.9786477
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,29,-1.8162288665771484,1776843317.5269735
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,30,-2.4365999698638916,1776843376.064565
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,31,-1.301060676574707,1776843425.334572
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,32,-1.7760831117630005,1776843484.7910974
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,33,-1.883675217628479,1776843542.2585797
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,34,-1.5193222761154175,1776843599.6986547
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,35,-0.9703231453895569,1776843658.7837806
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,36,-0.8443043828010559,1776843715.0198057
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,37,-1.9745508432388306,1776843770.454984
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,38,-1.6305221319198608,1776843820.153286
