run,step,value,wall_time
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,1,-5.036163330078125,1776842192.412655
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,2,-3.832716703414917,1776842258.24196
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,3,-3.431150436401367,1776842285.3649216
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,4,-3.710967540740967,1776842301.1167598
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,5,-3.6471168994903564,1776842318.5520308
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,6,-5.54891300201416,1776842335.0839863
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,7,-5.187149524688721,1776842353.215912
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,8,-5.838088512420654,1776842371.8296685
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,9,-6.058836460113525,1776842391.445844
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,10,-5.533702850341797,1776842413.2012188
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,11,-6.267093658447266,1776842437.7164435
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,12,-5.355464458465576,1776842495.1732275
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,13,-2.151528835296631,1776842554.1887703
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,14,-2.470331907272339,1776842612.2383716
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,15,-6.861715316772461,1776842670.93022
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,16,-7.02688455581665,1776842729.2028403
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,17,-3.8306329250335693,1776842754.8140666
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,18,-4.276103496551514,1776842775.5659466
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,19,-3.3664681911468506,1776842794.1381352
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,20,-4.362342834472656,1776842811.6070578
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,21,-4.865152835845947,1776842840.8404455
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,22,-4.078278541564941,1776842898.2988164
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,23,-1.144784688949585,1776842956.6264298
