run,step,value,wall_time
COMA_20260422_172633_events.out.tfevents.1776846395.DESKTOP-S05VJG2.10684.0,1,-0.9791831970214844,1776846398.7328146
COMA_20260422_173922_events.out.tfevents.1776847164.DESKTOP-S05VJG2.24160.0,1,-0.9790976047515869,1776847167.0625029
COMA_20260422_173922_events.out.tfevents.1776847164.DESKTOP-S05VJG2.24160.0,2,-0.9791024327278137,1776847169.9464266
COMA_20260422_173922_events.out.tfevents.1776847164.DESKTOP-S05VJG2.24160.0,3,-0.9790853261947632,1776847172.6175084
COMA_20260422_173922_events.out.tfevents.1776847164.DESKTOP-S05VJG2.24160.0,4,-0.9790651798248291,1776847175.6171198
COMA_20260422_173922_events.out.tfevents.1776847164.DESKTOP-S05VJG2.24160.0,5,-0.9790763258934021,1776847178.4349718
COMA_20260422_173922_events.out.tfevents.1776847164.DESKTOP-S05VJG2.24160.0,6,-0.9790074825286865,1776847181.2170708
COMA_20260422_173922_events.out.tfevents.1776847164.DESKTOP-S05VJG2.24160.0,7,-0.9790045619010925,1776847184.171819
COMA_20260422_173922_events.out.tfevents.1776847164.DESKTOP-S05VJG2.24160.0,8,-0.9789666533470154,1776847187.0498216
COMA_20260422_173922_events.out.tfevents.1776847164.DESKTOP-S05VJG2.24160.0,9,-0.9788106083869934,1776847190.0163789
COMA_20260422_173922_events.out.tfevents.1776847164.DESKTOP-S05VJG2.24160.0,10,-0.9787721037864685,1776847192.9667532
COMA_20260422_173922_events.out.tfevents.1776847164.DESKTOP-S05VJG2.24160.0,11,-0.9787065982818604,1776847195.982966
COMA_20260422_173922_events.out.tfevents.1776847164.DESKTOP-S05VJG2.24160.0,12,-0.9785758852958679,1776847198.833129
COMA_20260422_173922_events.out.tfevents.1776847164.DESKTOP-S05VJG2.24160.0,13,-0.9783660173416138,1776847201.8840897
COMA_20260422_173922_events.out.tfevents.1776847164.DESKTOP-S05VJG2.24160.0,14,-0.9781729578971863,1776847204.9173162
COMA_20260422_173922_events.out.tfevents.1776847164.DESKTOP-S05VJG2.24160.0,15,-0.9775667786598206,1776847207.930968
COMA_20260422_173922_events.out.tfevents.1776847164.DESKTOP-S05VJG2.24160.0,16,-0.9776707887649536,1776847210.927375
COMA_20260422_173922_events.out.tfevents.1776847164.DESKTOP-S05VJG2.24160.0,17,-0.9772661924362183,1776847213.9271607
COMA_20260422_173922_events.out.tfevents.1776847164.DESKTOP-S05VJG2.24160.0,18,-0.9762066602706909,1776847217.4103706
COMA_20260422_173922_events.out.tfevents.1776847164.DESKTOP-S05VJG2.24160.0,19,-0.976410984992981,1776847220.3176558
COMA_20260422_173922_events.out.tfevents.1776847164.DESKTOP-S05VJG2.24160.0,20,-0.9759982824325562,1776847223.3099566
COMA_20260422_173922_events.out.tfevents.1776847164.DESKTOP-S05VJG2.24160.0,21,-0.9757810235023499,1776847226.6372592
COMA_20260422_173922_events.out.tfevents.1776847164.DESKTOP-S05VJG2.24160.0,22,-0.9758078455924988,1776847229.543199
COMA_20260422_173922_events.out.tfevents.1776847164.DESKTOP-S05VJG2.24160.0,23,-0.9748218655586243,1776847232.8438334
COMA_20260422_173922_events.out.tfevents.1776847164.DESKTOP-S05VJG2.24160.0,24,-0.9740884304046631,1776847235.9774394
COMA_20260422_173922_events.out.tfevents.1776847164.DESKTOP-S05VJG2.24160.0,25,-0.973854124546051,1776847239.0929413
COMA_20260422_173922_events.out.tfevents.1776847164.DESKTOP-S05VJG2.24160.0,26,-0.9731791615486145,1776847242.4923193
DeepQ_20260422_172633_events.out.tfevents.1776846395.DESKTOP-S05VJG2.21528.0,1,-0.9790888428688049,1776846399.699877
DeepQ_20260422_174050_events.out.tfevents.1776847252.DESKTOP-S05VJG2.13828.0,1,-0.9791881442070007,1776847256.3625855
DeepQ_20260422_174050_events.out.tfevents.1776847252.DESKTOP-S05VJG2.13828.0,2,-0.9791867733001709,1776847260.0396056
DeepQ_20260422_174050_events.out.tfevents.1776847252.DESKTOP-S05VJG2.13828.0,3,-0.9791770577430725,1776847264.1310043
DeepQ_20260422_174050_events.out.tfevents.1776847252.DESKTOP-S05VJG2.13828.0,4,-0.97916579246521,1776847268.1290255
