run,step,value,wall_time
COMA_20260422_172633_events.out.tfevents.1776846395.DESKTOP-S05VJG2.10684.0,1,-1.7918050289154053,1776846398.7328146
COMA_20260422_173922_events.out.tfevents.1776847164.DESKTOP-S05VJG2.24160.0,1,-1.7875765562057495,1776847167.061503
COMA_20260422_173922_events.out.tfevents.1776847164.DESKTOP-S05VJG2.24160.0,2,-1.792181134223938,1776847169.9464266
COMA_20260422_173922_events.out.tfevents.1776847164.DESKTOP-S05VJG2.24160.0,3,-1.787372350692749,1776847172.6175084
COMA_20260422_173922_events.out.tfevents.1776847164.DESKTOP-S05VJG2.24160.0,4,-1.7845323085784912,1776847175.6171198
COMA_20260422_173922_events.out.tfevents.1776847164.DESKTOP-S05VJG2.24160.0,5,-1.7864989042282104,1776847178.4349718
COMA_20260422_173922_events.out.tfevents.1776847164.DESKTOP-S05VJG2.24160.0,6,-1.7935259342193604,1776847181.2170708
COMA_20260422_173922_events.out.tfevents.1776847164.DESKTOP-S05VJG2.24160.0,7,-1.7919520139694214,1776847184.171819
COMA_20260422_173922_events.out.tfevents.1776847164.DESKTOP-S05VJG2.24160.0,8,-1.7872503995895386,1776847187.0498216
COMA_20260422_173922_events.out.tfevents.1776847164.DESKTOP-S05VJG2.24160.0,9,-1.7796940803527832,1776847190.0163789
COMA_20260422_173922_events.out.tfevents.1776847164.DESKTOP-S05VJG2.24160.0,10,-1.78264319896698,1776847192.9667532
COMA_20260422_173922_events.out.tfevents.1776847164.DESKTOP-S05VJG2.24160.0,11,-1.7746822834014893,1776847195.982966
COMA_20260422_173922_events.out.tfevents.1776847164.DESKTOP-S05VJG2.24160.0,12,-1.7808544635772705,1776847198.833129
COMA_20260422_173922_events.out.tfevents.1776847164.DESKTOP-S05VJG2.24160.0,13,-1.7808278799057007,1776847201.8840897
COMA_20260422_173922_events.out.tfevents.1776847164.DESKTOP-S05VJG2.24160.0,14,-1.7913631200790405,1776847204.9173162
COMA_20260422_173922_events.out.tfevents.1776847164.DESKTOP-S05VJG2.24160.0,15,-1.7796920537948608,1776847207.930968
COMA_20260422_173922_events.out.tfevents.1776847164.DESKTOP-S05VJG2.24160.0,16,-1.7843095064163208,1776847210.927375
COMA_20260422_173922_events.out.tfevents.1776847164.DESKTOP-S05VJG2.24160.0,17,-1.776878833770752,1776847213.9271607
COMA_20260422_173922_events.out.tfevents.1776847164.DESKTOP-S05VJG2.24160.0,18,-1.7665280103683472,1776847217.4103706
COMA_20260422_173922_events.out.tfevents.1776847164.DESKTOP-S05VJG2.24160.0,19,-1.788957953453064,1776847220.3176558
COMA_20260422_173922_events.out.tfevents.1776847164.DESKTOP-S05VJG2.24160.0,20,-1.7891954183578491,1776847223.3099566
COMA_20260422_173922_events.out.tfevents.1776847164.DESKTOP-S05VJG2.24160.0,21,-1.8109914064407349,1776847226.6372592
COMA_20260422_173922_events.out.tfevents.1776847164.DESKTOP-S05VJG2.24160.0,22,-1.7565348148345947,1776847229.543199
COMA_20260422_173922_events.out.tfevents.1776847164.DESKTOP-S05VJG2.24160.0,23,-1.8030006885528564,1776847232.8438334
COMA_20260422_173922_events.out.tfevents.1776847164.DESKTOP-S05VJG2.24160.0,24,-1.7864712476730347,1776847235.9774394
COMA_20260422_173922_events.out.tfevents.1776847164.DESKTOP-S05VJG2.24160.0,25,-1.7386764287948608,1776847239.0929413
COMA_20260422_173922_events.out.tfevents.1776847164.DESKTOP-S05VJG2.24160.0,26,-1.7886196374893188,1776847242.4923193
DeepQ_20260422_172633_events.out.tfevents.1776846395.DESKTOP-S05VJG2.21528.0,1,-1.7910040616989136,1776846399.699877
DeepQ_20260422_174050_events.out.tfevents.1776847252.DESKTOP-S05VJG2.13828.0,1,-1.7914422750473022,1776847256.3625855
DeepQ_20260422_174050_events.out.tfevents.1776847252.DESKTOP-S05VJG2.13828.0,2,-1.795929193496704,1776847260.0396056
DeepQ_20260422_174050_events.out.tfevents.1776847252.DESKTOP-S05VJG2.13828.0,3,-1.7908011674880981,1776847264.1310043
DeepQ_20260422_174050_events.out.tfevents.1776847252.DESKTOP-S05VJG2.13828.0,4,-1.7921086549758911,1776847268.1290255
DeepQ_20260422_174050_events.out.tfevents.1776847252.DESKTOP-S05VJG2.13828.0,5,-1.797413945198059,1776847272.2917266
DeepQ_20260422_174050_events.out.tfevents.1776847252.DESKTOP-S05VJG2.13828.0,6,-1.790509581565857,1776847276.5112371
DeepQ_20260422_174050_events.out.tfevents.1776847252.DESKTOP-S05VJG2.13828.0,7,-1.791387915611267,1776847280.7017608
DeepQ_20260422_174050_events.out.tfevents.1776847252.DESKTOP-S05VJG2.13828.0,8,-1.7934670448303223,1776847284.877827
DeepQ_20260422_174050_events.out.tfevents.1776847252.DESKTOP-S05VJG2.13828.0,9,-1.7966177463531494,1776847288.9318259
DeepQ_20260422_174050_events.out.tfevents.1776847252.DESKTOP-S05VJG2.13828.0,10,-1.7937880754470825,1776847292.898331
DeepQ_20260422_174050_events.out.tfevents.1776847252.DESKTOP-S05VJG2.13828.0,11,-1.7948577404022217,1776847297.0648978
DeepQ_20260422_174050_events.out.tfevents.1776847252.DESKTOP-S05VJG2.13828.0,12,-1.7924541234970093,1776847301.6658323
DeepQ_20260422_174050_events.out.tfevents.1776847252.DESKTOP-S05VJG2.13828.0,13,-1.7964422702789307,1776847306.1645153
DeepQ_20260422_174050_events.out.tfevents.1776847252.DESKTOP-S05VJG2.13828.0,14,-1.7999967336654663,1776847310.9663715
DeepQ_20260422_174050_events.out.tfevents.1776847252.DESKTOP-S05VJG2.13828.0,15,-1.7887014150619507,1776847315.841128
DeepQ_20260422_174050_events.out.tfevents.1776847252.DESKTOP-S05VJG2.13828.0,16,-1.7902544736862183,1776847320.2638855
DeepQ_20260422_174050_events.out.tfevents.1776847252.DESKTOP-S05VJG2.13828.0,17,-1.7961747646331787,1776847324.8261065
DeepQ_20260422_174050_events.out.tfevents.1776847252.DESKTOP-S05VJG2.13828.0,18,-1.8057572841644287,1776847329.8498206
DeepQ_20260422_174050_events.out.tfevents.1776847252.DESKTOP-S05VJG2.13828.0,19,-1.7903884649276733,1776847334.6624281
DeepQ_20260422_174050_events.out.tfevents.1776847252.DESKTOP-S05VJG2.13828.0,20,-1.7972912788391113,1776847339.5564928
DeepQ_20260422_174050_events.out.tfevents.1776847252.DESKTOP-S05VJG2.13828.0,21,-1.7906070947647095,1776847344.5534172
DeepQ_20260422_174050_events.out.tfevents.1776847252.DESKTOP-S05VJG2.13828.0,22,-1.7899563312530518,1776847349.4797437
DeepQ_20260422_174050_events.out.tfevents.1776847252.DESKTOP-S05VJG2.13828.0,23,-1.7888895273208618,1776847354.5357766
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,1,-1.7895519733428955,1776842192.4296386
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,2,-1.7895324230194092,1776842258.2539563
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,3,-1.7875958681106567,1776842285.3696449
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,4,-1.788900375366211,1776842301.1167598
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,5,-1.7862247228622437,1776842318.555029
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,6,-1.7828208208084106,1776842335.0839863
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,7,-1.784708023071289,1776842353.215912
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,8,-1.780975580215454,1776842371.8296685
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,9,-1.7871173620224,1776842391.4559295
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,10,-1.7869104146957397,1776842413.219455
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,11,-1.76508367061615,1776842437.7319577
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,12,-1.7779552936553955,1776842495.183338
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,13,-1.78582763671875,1776842554.1993425
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,14,-1.7758986949920654,1776842612.2548165
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,15,-1.7794368267059326,1776842670.9373834
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,16,-1.7795560359954834,1776842729.207514
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,17,-1.766106367111206,1776842754.8140666
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,18,-1.773173213005066,1776842775.5659466
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,19,-1.7044312953948975,1776842794.1421406
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,20,-1.7658400535583496,1776842811.6070578
