run,step,value,wall_time
COMA_20260422_172633_events.out.tfevents.1776846395.DESKTOP-S05VJG2.10684.0,1,0.04177994281053543,1776846398.7328146
COMA_20260422_173922_events.out.tfevents.1776847164.DESKTOP-S05VJG2.24160.0,1,0.04270516335964203,1776847167.0635042
COMA_20260422_173922_events.out.tfevents.1776847164.DESKTOP-S05VJG2.24160.0,2,0.0410611629486084,1776847169.9464266
COMA_20260422_173922_events.out.tfevents.1776847164.DESKTOP-S05VJG2.24160.0,3,0.06246538087725639,1776847172.6175084
COMA_20260422_173922_events.out.tfevents.1776847164.DESKTOP-S05VJG2.24160.0,4,0.04156898707151413,1776847175.6171198
COMA_20260422_173922_events.out.tfevents.1776847164.DESKTOP-S05VJG2.24160.0,5,0.049703262746334076,1776847178.4349718
COMA_20260422_173922_events.out.tfevents.1776847164.DESKTOP-S05VJG2.24160.0,6,0.05103907361626625,1776847181.2170708
COMA_20260422_173922_events.out.tfevents.1776847164.DESKTOP-S05VJG2.24160.0,7,0.0361696220934391,1776847184.171819
COMA_20260422_173922_events.out.tfevents.1776847164.DESKTOP-S05VJG2.24160.0,8,0.0615217350423336,1776847187.0498216
COMA_20260422_173922_events.out.tfevents.1776847164.DESKTOP-S05VJG2.24160.0,9,0.05394589155912399,1776847190.031487
COMA_20260422_173922_events.out.tfevents.1776847164.DESKTOP-S05VJG2.24160.0,10,0.08771365880966187,1776847192.9667532
COMA_20260422_173922_events.out.tfevents.1776847164.DESKTOP-S05VJG2.24160.0,11,0.15849122405052185,1776847195.9988434
COMA_20260422_173922_events.out.tfevents.1776847164.DESKTOP-S05VJG2.24160.0,12,0.19116009771823883,1776847198.833129
COMA_20260422_173922_events.out.tfevents.1776847164.DESKTOP-S05VJG2.24160.0,13,0.1685105711221695,1776847201.8840897
COMA_20260422_173922_events.out.tfevents.1776847164.DESKTOP-S05VJG2.24160.0,14,0.10373254120349884,1776847204.9173162
COMA_20260422_173922_events.out.tfevents.1776847164.DESKTOP-S05VJG2.24160.0,15,0.17124797403812408,1776847207.9322474
COMA_20260422_173922_events.out.tfevents.1776847164.DESKTOP-S05VJG2.24160.0,16,0.21547818183898926,1776847210.927375
COMA_20260422_173922_events.out.tfevents.1776847164.DESKTOP-S05VJG2.24160.0,17,0.2647230327129364,1776847213.9271607
COMA_20260422_173922_events.out.tfevents.1776847164.DESKTOP-S05VJG2.24160.0,18,0.30321165919303894,1776847217.4103706
COMA_20260422_173922_events.out.tfevents.1776847164.DESKTOP-S05VJG2.24160.0,19,0.3244035840034485,1776847220.3176558
COMA_20260422_173922_events.out.tfevents.1776847164.DESKTOP-S05VJG2.24160.0,20,0.3413386642932892,1776847223.3099566
COMA_20260422_173922_events.out.tfevents.1776847164.DESKTOP-S05VJG2.24160.0,21,0.3752617835998535,1776847226.643278
COMA_20260422_173922_events.out.tfevents.1776847164.DESKTOP-S05VJG2.24160.0,22,0.46138590574264526,1776847229.543199
COMA_20260422_173922_events.out.tfevents.1776847164.DESKTOP-S05VJG2.24160.0,23,0.4664265215396881,1776847232.8438334
COMA_20260422_173922_events.out.tfevents.1776847164.DESKTOP-S05VJG2.24160.0,24,0.46949514746665955,1776847235.9774394
COMA_20260422_173922_events.out.tfevents.1776847164.DESKTOP-S05VJG2.24160.0,25,0.42714205384254456,1776847239.0939398
COMA_20260422_173922_events.out.tfevents.1776847164.DESKTOP-S05VJG2.24160.0,26,0.2063654065132141,1776847242.4987383
DeepQ_20260422_172633_events.out.tfevents.1776846395.DESKTOP-S05VJG2.21528.0,1,0.022794876247644424,1776846399.7051885
DeepQ_20260422_174050_events.out.tfevents.1776847252.DESKTOP-S05VJG2.13828.0,1,0.04289000481367111,1776847256.3625855
DeepQ_20260422_174050_events.out.tfevents.1776847252.DESKTOP-S05VJG2.13828.0,2,0.0768437534570694,1776847260.0396056
DeepQ_20260422_174050_events.out.tfevents.1776847252.DESKTOP-S05VJG2.13828.0,3,0.12574541568756104,1776847264.1310043
DeepQ_20260422_174050_events.out.tfevents.1776847252.DESKTOP-S05VJG2.13828.0,4,0.22484515607357025,1776847268.1290255
DeepQ_20260422_174050_events.out.tfevents.1776847252.DESKTOP-S05VJG2.13828.0,5,0.3127727210521698,1776847272.2957487
DeepQ_20260422_174050_events.out.tfevents.1776847252.DESKTOP-S05VJG2.13828.0,6,0.15747155249118805,1776847276.5112371
DeepQ_20260422_174050_events.out.tfevents.1776847252.DESKTOP-S05VJG2.13828.0,7,0.089627206325531,1776847280.71288
DeepQ_20260422_174050_events.out.tfevents.1776847252.DESKTOP-S05VJG2.13828.0,8,0.09708590805530548,1776847284.877827
DeepQ_20260422_174050_events.out.tfevents.1776847252.DESKTOP-S05VJG2.13828.0,9,0.2167155146598816,1776847288.9318259
DeepQ_20260422_174050_events.out.tfevents.1776847252.DESKTOP-S05VJG2.13828.0,10,0.16708171367645264,1776847292.898331
DeepQ_20260422_174050_events.out.tfevents.1776847252.DESKTOP-S05VJG2.13828.0,11,0.08819522708654404,1776847297.0648978
DeepQ_20260422_174050_events.out.tfevents.1776847252.DESKTOP-S05VJG2.13828.0,12,0.10670079290866852,1776847301.6658323
DeepQ_20260422_174050_events.out.tfevents.1776847252.DESKTOP-S05VJG2.13828.0,13,0.06646712869405746,1776847306.1645153
DeepQ_20260422_174050_events.out.tfevents.1776847252.DESKTOP-S05VJG2.13828.0,14,0.07823944836854935,1776847310.9663715
DeepQ_20260422_174050_events.out.tfevents.1776847252.DESKTOP-S05VJG2.13828.0,15,0.033977266401052475,1776847315.849864
DeepQ_20260422_174050_events.out.tfevents.1776847252.DESKTOP-S05VJG2.13828.0,16,0.039373189210891724,1776847320.2638855
DeepQ_20260422_174050_events.out.tfevents.1776847252.DESKTOP-S05VJG2.13828.0,17,0.058004237711429596,1776847324.8363543
DeepQ_20260422_174050_events.out.tfevents.1776847252.DESKTOP-S05VJG2.13828.0,18,0.08619637042284012,1776847329.8563542
DeepQ_20260422_174050_events.out.tfevents.1776847252.DESKTOP-S05VJG2.13828.0,19,0.046485256403684616,1776847334.6644301
DeepQ_20260422_174050_events.out.tfevents.1776847252.DESKTOP-S05VJG2.13828.0,20,0.018749048933386803,1776847339.5581362
DeepQ_20260422_174050_events.out.tfevents.1776847252.DESKTOP-S05VJG2.13828.0,21,0.04651704430580139,1776847344.5534172
