run,step,value,wall_time
COMA_20260422_172633_events.out.tfevents.1776846395.DESKTOP-S05VJG2.10684.0,1,0.0,1776846398.7328146
COMA_20260422_173922_events.out.tfevents.1776847164.DESKTOP-S05VJG2.24160.0,1,0.0,1776847167.0558856
COMA_20260422_173922_events.out.tfevents.1776847164.DESKTOP-S05VJG2.24160.0,2,0.0,1776847169.9420693
COMA_20260422_173922_events.out.tfevents.1776847164.DESKTOP-S05VJG2.24160.0,3,0.0,1776847172.6175084
COMA_20260422_173922_events.out.tfevents.1776847164.DESKTOP-S05VJG2.24160.0,4,0.0,1776847175.6171198
COMA_20260422_173922_events.out.tfevents.1776847164.DESKTOP-S05VJG2.24160.0,5,0.0,1776847178.432142
COMA_20260422_173922_events.out.tfevents.1776847164.DESKTOP-S05VJG2.24160.0,6,0.0,1776847181.2170708
COMA_20260422_173922_events.out.tfevents.1776847164.DESKTOP-S05VJG2.24160.0,7,0.0,1776847184.1671832
COMA_20260422_173922_events.out.tfevents.1776847164.DESKTOP-S05VJG2.24160.0,8,0.0,1776847187.0493357
COMA_20260422_173922_events.out.tfevents.1776847164.DESKTOP-S05VJG2.24160.0,9,0.0,1776847190.0163789
COMA_20260422_173922_events.out.tfevents.1776847164.DESKTOP-S05VJG2.24160.0,10,0.0,1776847192.9657764
COMA_20260422_173922_events.out.tfevents.1776847164.DESKTOP-S05VJG2.24160.0,11,0.0,1776847195.982966
COMA_20260422_173922_events.out.tfevents.1776847164.DESKTOP-S05VJG2.24160.0,12,0.0,1776847198.833129
COMA_20260422_173922_events.out.tfevents.1776847164.DESKTOP-S05VJG2.24160.0,13,0.0,1776847201.8840897
COMA_20260422_173922_events.out.tfevents.1776847164.DESKTOP-S05VJG2.24160.0,14,0.0,1776847204.9173162
COMA_20260422_173922_events.out.tfevents.1776847164.DESKTOP-S05VJG2.24160.0,15,0.0,1776847207.9185843
COMA_20260422_173922_events.out.tfevents.1776847164.DESKTOP-S05VJG2.24160.0,16,0.0,1776847210.921665
COMA_20260422_173922_events.out.tfevents.1776847164.DESKTOP-S05VJG2.24160.0,17,0.0,1776847213.9271607
COMA_20260422_173922_events.out.tfevents.1776847164.DESKTOP-S05VJG2.24160.0,18,0.0,1776847217.4103706
COMA_20260422_173922_events.out.tfevents.1776847164.DESKTOP-S05VJG2.24160.0,19,0.0,1776847220.310276
COMA_20260422_173922_events.out.tfevents.1776847164.DESKTOP-S05VJG2.24160.0,20,0.0,1776847223.3000107
COMA_20260422_173922_events.out.tfevents.1776847164.DESKTOP-S05VJG2.24160.0,21,0.0,1776847226.6268694
COMA_20260422_173922_events.out.tfevents.1776847164.DESKTOP-S05VJG2.24160.0,22,0.0,1776847229.543199
COMA_20260422_173922_events.out.tfevents.1776847164.DESKTOP-S05VJG2.24160.0,23,0.0,1776847232.8423226
COMA_20260422_173922_events.out.tfevents.1776847164.DESKTOP-S05VJG2.24160.0,24,0.0,1776847235.9714592
COMA_20260422_173922_events.out.tfevents.1776847164.DESKTOP-S05VJG2.24160.0,25,0.0,1776847239.0776064
COMA_20260422_173922_events.out.tfevents.1776847164.DESKTOP-S05VJG2.24160.0,26,0.0,1776847242.4923193
DeepQ_20260422_172633_events.out.tfevents.1776846395.DESKTOP-S05VJG2.21528.0,1,0.0,1776846399.6988919
DeepQ_20260422_174050_events.out.tfevents.1776847252.DESKTOP-S05VJG2.13828.0,1,0.0,1776847256.358207
DeepQ_20260422_174050_events.out.tfevents.1776847252.DESKTOP-S05VJG2.13828.0,2,0.0,1776847260.038606
DeepQ_20260422_174050_events.out.tfevents.1776847252.DESKTOP-S05VJG2.13828.0,3,0.0,1776847264.1310043
DeepQ_20260422_174050_events.out.tfevents.1776847252.DESKTOP-S05VJG2.13828.0,4,0.0,1776847268.1290255
DeepQ_20260422_174050_events.out.tfevents.1776847252.DESKTOP-S05VJG2.13828.0,5,0.0,1776847272.2779124
DeepQ_20260422_174050_events.out.tfevents.1776847252.DESKTOP-S05VJG2.13828.0,6,0.0,1776847276.4983
DeepQ_20260422_174050_events.out.tfevents.1776847252.DESKTOP-S05VJG2.13828.0,7,0.0,1776847280.7017608
DeepQ_20260422_174050_events.out.tfevents.1776847252.DESKTOP-S05VJG2.13828.0,8,0.0,1776847284.877827
DeepQ_20260422_174050_events.out.tfevents.1776847252.DESKTOP-S05VJG2.13828.0,9,0.0,1776847288.9154124
DeepQ_20260422_174050_events.out.tfevents.1776847252.DESKTOP-S05VJG2.13828.0,10,0.0,1776847292.898331
DeepQ_20260422_174050_events.out.tfevents.1776847252.DESKTOP-S05VJG2.13828.0,11,0.0,1776847297.0482426
DeepQ_20260422_174050_events.out.tfevents.1776847252.DESKTOP-S05VJG2.13828.0,12,0.0,1776847301.6641839
DeepQ_20260422_174050_events.out.tfevents.1776847252.DESKTOP-S05VJG2.13828.0,13,0.0,1776847306.1645153
DeepQ_20260422_174050_events.out.tfevents.1776847252.DESKTOP-S05VJG2.13828.0,14,0.0,1776847310.9663715
DeepQ_20260422_174050_events.out.tfevents.1776847252.DESKTOP-S05VJG2.13828.0,15,0.0,1776847315.8311586
DeepQ_20260422_174050_events.out.tfevents.1776847252.DESKTOP-S05VJG2.13828.0,16,0.0,1776847320.2575307
DeepQ_20260422_174050_events.out.tfevents.1776847252.DESKTOP-S05VJG2.13828.0,17,0.0,1776847324.8199875
DeepQ_20260422_174050_events.out.tfevents.1776847252.DESKTOP-S05VJG2.13828.0,18,0.0,1776847329.838699
DeepQ_20260422_174050_events.out.tfevents.1776847252.DESKTOP-S05VJG2.13828.0,19,0.0,1776847334.6521006
DeepQ_20260422_174050_events.out.tfevents.1776847252.DESKTOP-S05VJG2.13828.0,20,0.0,1776847339.5486133
DeepQ_20260422_174050_events.out.tfevents.1776847252.DESKTOP-S05VJG2.13828.0,21,0.0,1776847344.535248
DeepQ_20260422_174050_events.out.tfevents.1776847252.DESKTOP-S05VJG2.13828.0,22,0.0,1776847349.4672954
DeepQ_20260422_174050_events.out.tfevents.1776847252.DESKTOP-S05VJG2.13828.0,23,0.0,1776847354.522227
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,1,0.3787173926830292,1776842192.4085455
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,2,0.5627601146697998,1776842258.2359593
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,3,0.3536320626735687,1776842285.363921
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,4,0.18065425753593445,1776842301.1167598
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,5,0.1895364671945572,1776842318.5500317
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,6,0.7125871777534485,1776842335.0839863
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,7,0.4249321520328522,1776842353.2152872
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,8,0.485013484954834,1776842371.8296685
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,9,0.49186158180236816,1776842391.4425352
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,10,0.3106265366077423,1776842413.2012188
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,11,0.4899132549762726,1776842437.7164435
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,12,0.45265427231788635,1776842495.1693535
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,13,0.27669423818588257,1776842554.1838357
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,14,0.2761978805065155,1776842612.232499
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,15,0.5541115403175354,1776842670.9262538
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,16,0.5807008147239685,1776842729.2005692
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,17,0.3470901548862457,1776842754.8140666
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,18,0.35466238856315613,1776842775.5659466
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,19,0.13668334484100342,1776842794.1371214
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,20,0.41930705308914185,1776842811.6051123
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,21,0.09599517285823822,1776842840.8354385
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,22,0.46898314356803894,1776842898.2956326
events.out.tfevents.1776842137.DESKTOP-S05VJG2.2932.0,23,0.18382780253887177,1776842956.6203868
